,Turbidity
2018-12-18,-0.021873659100184396
2018-12-23,-0.12311113693278264
2018-12-28,-0.16045850928200464
2019-01-02,-0.12157632792634561
2019-01-07,-0.13419802055202934
2019-01-12,-0.05604566936316265
2019-01-17,-0.06159057824321572
2019-01-22,-0.14336731418015164
2019-01-27,-0.14273373652263066
2019-02-01,-0.1649546730285695
2019-02-06,-0.10216117445992785
2019-02-11,-0.07276522859703434
2019-02-16,-0.21524903401277706
2019-02-21,-0.15131990342174342
2019-02-26,-0.24765746571842057
2019-03-08,-0.1011740184237975
2019-03-13,-0.15294382001556067
2019-03-18,-0.7249605601312774
2019-03-23,-0.48988901868976154
2019-03-28,-0.057177155276034876
2019-04-02,-0.11637625261610487
2019-04-07,-0.10817579329567607
2019-04-12,-0.06209173787761273
2019-04-17,-0.06137722037861389
2019-04-22,-0.04542007826776386
2019-04-27,-0.14421322320223284
2019-05-02,-0.09768529569658438
2019-05-07,-0.05662863527759652
2019-05-12,-0.08535809494902373
2019-05-17,-0.024907070146278725
2019-05-22,-0.08313431597487449
2019-05-27,-0.18754050994171279
2019-06-01,-0.08998570177439903
2019-06-06,-0.10012327134248393
2019-06-11,-0.06764452496565831
2019-10-04,-0.06797999417760839
2019-10-09,-0.05809890205602993
2019-10-14,-0.17440460749060263
2019-11-23,-0.17421121314083382
2019-11-28,-0.1746282918341819
2019-12-03,-0.13552570760015412
2019-12-08,-0.10052812572990472
2019-12-13,-0.12683866447651526
2019-12-18,-0.15917566109994688
2019-12-23,-0.15880151735859793
2019-12-28,-0.1502483917299634
2020-01-12,-0.21777656519423128
2020-01-17,-0.18621464969353668
2020-02-01,-0.190560937396305
2020-02-06,-0.09211068431665337
2020-02-11,-0.10376315677602507
2020-02-16,-0.09199159777789505
2020-02-21,-0.14936544898332169
2020-02-26,-0.05614918782754063
2020-03-02,-0.04408258584286418
2020-03-07,-0.03129647727445251
2020-03-12,-0.060838208356551925
2020-03-17,-0.16912828546669828
2020-03-22,-0.17197964537751534
2020-04-01,-0.11081022476496923
2020-04-06,-0.09531643404730322
2020-04-11,-0.10653639379847152
2020-04-16,-0.08365172929800348
2020-04-21,-0.13922090197682255
2020-04-26,-0.1498524843247738
2020-05-01,-0.13029803229627904
2020-05-06,-0.15028740893340733
2020-05-11,-0.14050798418386548
2020-05-16,-0.23581431413478965
2020-05-21,-0.19539688378145678
2020-05-26,-0.22078497731431498
2020-05-31,-0.27483988436145157
2020-06-05,-0.14516628701359693
2020-06-10,-0.14610272251822545
2020-06-30,-0.13324090592975935
2020-09-28,-0.10014954385156409
2020-10-18,-0.11875565844265984
2020-10-23,-0.04958113355066788
2020-10-28,-0.1818731388189624
2020-11-02,-0.1493188769139045
2020-11-07,-0.17271625366911122
2020-11-12,-0.08852555726886072
2020-11-17,-0.12086684058972076
2020-11-22,-0.1304732591570128
2020-11-27,-0.12466249732985223
2020-12-02,-0.1069262313002773
2020-12-07,-0.1320865126404427
2020-12-17,-0.15897510120394676
2020-12-22,-0.12135604842409795
2020-12-27,-0.13985127491633112
2021-01-01,-0.12258074732189526
2021-01-06,-0.08512240938954166
2021-01-16,-0.04434280184847813
2021-01-21,-0.13201132017960987
2021-01-26,-0.24128659646814266
2021-01-31,-0.1739156699000289
2021-02-05,-0.3473444139203418
2021-02-10,-0.11256848292572026
2021-02-15,-0.27923392063906743
2021-02-20,-0.19101984295849678
2021-02-25,-0.2291410501598342
2021-03-02,-0.2248627123558173
2021-03-07,-0.26906879044364496
2021-03-17,-0.5014462569331043
2021-03-27,-0.04818838282201472
2021-04-01,-0.08801535406714821
2021-04-06,-0.051080083871318835
2021-04-11,-0.055020585913786155
2021-04-16,-0.05833595327906595
2021-04-26,-0.073134976809092
2021-05-06,-0.037974782367264294
2021-05-11,-0.08436134811222293
2021-05-16,-0.12482580646217548
2021-05-21,-0.13623465761373485
2021-05-26,-0.09265329852751619
2021-07-05,-0.08606400855358814
2021-10-13,-0.09369962872458115
2021-10-23,-0.16709947621017127
2021-10-28,-0.11929428895869772
2021-11-02,-0.10358486956308766
2021-11-07,-0.1400508860845652
2021-11-12,-0.0772958679401279
2021-11-27,-0.09254639417894282
2021-12-07,-0.13999484737396156
2021-12-12,-0.07704117600057075
2021-12-22,-0.10839357465594304
2021-12-27,-0.10647383495474384
2022-01-21,-0.10689879841186753
2022-01-26,-0.18435590677049185
2022-01-31,-0.04720547306684562
2022-02-05,-0.040405881880646866
2022-02-10,-0.026678409012744885
2022-02-15,-0.026172354978598524
2022-02-20,-0.035088776831926106
2022-03-02,-0.032895488332391275
2022-03-12,-0.028906927415438884
2022-03-17,-0.03672260608852183
2022-03-22,-0.017949876661327743
2022-03-27,-0.012298195352271635
2022-04-01,-0.021866143678995482
2022-04-06,-0.00819781961235948
2022-04-16,-0.03381687928555129
2022-04-26,-0.03995481683337987
2022-05-01,-0.049129550956455666
2022-05-06,-0.0162926937732055
2022-05-11,-0.017248614701420282
2022-05-16,-0.029063799491372968
2022-05-21,-0.03580520800092276
2022-05-26,-0.0397764083818979
2022-05-31,-0.015399076171281
2022-10-03,-0.01483696276977032
2022-10-13,-0.04454581608309439
2022-10-18,-0.050097584926200346
2022-10-23,-0.054201474757505176
2022-10-28,-0.06271615467334182
2022-11-02,-0.053949194780225765
2022-11-07,-0.060840630902520954
2022-11-12,-0.060031275634153815
2022-11-17,-0.06461770997734442
2022-11-22,-0.052451147820031935
2022-11-27,-0.0408228073066511
2022-12-02,-0.02757962174434626
2022-12-07,-0.015448879135855182
2022-12-17,-0.016147988657907345
2022-12-22,-0.014442446359546902
2022-12-27,-0.02669677902050381
