,pH
2018-12-18,7.662760963331693
2018-12-23,7.820192317800955
2018-12-28,7.873314938280377
2019-01-02,7.701344583211722
2019-01-07,7.92284017014688
2019-01-12,7.624237766884275
2019-01-17,7.577218067221859
2019-01-22,7.723695565578001
2019-01-27,8.048708096332154
2019-02-01,7.743081658082535
2019-02-06,7.819461288595478
2019-02-11,7.575649134378337
2019-02-16,8.06486381675611
2019-02-21,7.794928084900219
2019-02-26,8.032982346688119
2019-03-08,7.9873181372975965
2019-03-13,7.979790372634139
2019-03-18,8.26364601591575
2019-03-23,8.07849119678242
2019-03-28,8.023181989800094
2019-04-02,7.8661829744283995
2019-04-07,7.887650439882698
2019-04-12,7.871287706943598
2019-04-17,7.883381299699553
2019-04-22,7.656971313871208
2019-04-27,7.952528999272559
2019-05-02,7.79048612358424
2019-05-07,7.911164875419985
2019-05-12,7.817997462173773
2019-05-17,7.894056279350957
2019-05-22,7.8741120431697755
2019-05-27,7.886397676952116
2019-06-01,7.8139211658254295
2019-06-06,7.835983149865799
2019-06-11,7.887745932497584
2019-10-04,7.887205337575982
2019-10-09,7.436738031327666
2019-10-14,7.676087646335389
2019-11-23,7.70764235385657
2019-11-28,7.604345792063146
2019-12-03,7.6328724601581746
2019-12-08,7.6548819152333705
2019-12-13,7.5976957809046715
2019-12-18,7.6914222555154295
2019-12-23,7.72278983778777
2019-12-28,7.689855829114657
2020-01-12,7.77925024582541
2020-01-17,7.7503227971758255
2020-02-01,7.855249681247538
2020-02-06,7.632994894732049
2020-02-11,7.775252656117292
2020-02-16,7.761849883930275
2020-02-21,7.8966743073345524
2020-02-26,7.749480692861158
2020-03-02,7.909285928062032
2020-03-07,7.801105894827634
2020-03-12,7.988752456578864
2020-03-17,8.060324947781108
2020-03-22,8.076314509996912
2020-04-01,8.103762485618356
2020-04-06,7.998832318133268
2020-04-11,7.91301742919731
2020-04-16,7.984123522093609
2020-04-21,8.045440986254814
2020-04-26,8.12754085302343
2020-05-01,8.130954342924523
2020-05-06,8.14993902975965
2020-05-11,8.139502121095312
2020-05-16,8.179759175469087
2020-05-21,8.17817301329139
2020-05-26,8.192358628828675
2020-05-31,8.2167935160998
2020-06-05,8.1306402650702
2020-06-10,7.96547158976332
2020-06-30,7.920103266733893
2020-09-28,7.832240635169475
2020-10-18,7.877426093337819
2020-10-23,7.607613526299349
2020-10-28,7.8315433863222434
2020-11-02,7.799027540865121
2020-11-07,7.810937763860263
2020-11-12,7.727696945798826
2020-11-17,7.857679846939865
2020-11-22,7.599631696250177
2020-11-27,7.766072631317994
2020-12-02,7.63759764490424
2020-12-07,7.783776381833286
2020-12-17,7.944931301680993
2020-12-22,7.864096298192623
2020-12-27,7.8719142641880335
2021-01-01,7.8101025055815345
2021-01-06,7.63275383976603
2021-01-16,7.688147435781656
2021-01-21,7.7851470640372975
2021-01-26,7.949659565850772
2021-01-31,8.090713851290353
2021-02-05,8.001976388701749
2021-02-10,7.774982478088241
2021-02-15,8.012331708004991
2021-02-20,7.907189808186748
2021-02-25,8.019709168814071
2021-03-02,7.906247749401416
2021-03-07,8.09874835785579
2021-03-17,8.140182553650119
2021-03-27,7.694856522656082
2021-04-01,7.993298329613948
2021-04-06,8.00890954879462
2021-04-11,7.828373158519952
2021-04-16,7.710602611223134
2021-04-26,7.703987989701641
2021-05-06,7.599257806186879
2021-05-11,7.692994762185706
2021-05-16,7.702176515672896
2021-05-21,7.402043505803356
2021-05-26,7.756599024024702
2021-07-05,7.818928993075476
2021-10-13,7.7306482264179515
2021-10-23,7.717080753489868
2021-10-28,7.426029491884859
2021-11-02,7.7514014787408465
2021-11-07,7.604990362083217
2021-11-12,7.59979486978105
2021-11-27,7.591045903834049
2021-12-07,7.690462689695251
2021-12-12,7.594169166222802
2021-12-22,7.592270558478153
2021-12-27,7.567528639899288
2022-01-21,7.730663260840978
2022-01-26,7.715991714768957
2022-01-31,7.638988324418148
2022-02-05,7.641803533718032
2022-02-10,7.707287190546008
2022-02-15,7.647143213802144
2022-02-20,7.46252964195404
2022-03-02,7.676672726863973
2022-03-12,7.738824302152998
2022-03-17,7.738225889556473
2022-03-22,7.767960404316464
2022-03-27,7.668672051159598
2022-04-01,7.711207543337577
2022-04-06,7.727609203291319
2022-04-16,7.70629544642335
2022-04-26,7.7796435820546685
2022-05-01,7.751415802064302
2022-05-06,7.702951291551738
2022-05-11,7.828293816942458
2022-05-16,7.9226342988538905
2022-05-21,7.808594938226413
2022-05-26,7.825891004863403
2022-05-31,7.846687836850797
2022-10-03,7.8201254256016455
2022-10-13,7.656889009924665
2022-10-18,7.680712267181587
2022-10-23,7.622030774745753
2022-10-28,7.673906223299498
2022-11-02,7.666774556588824
2022-11-07,7.67882394451277
2022-11-12,7.6546693552815945
2022-11-17,7.569445792539193
2022-11-22,7.707086801448585
2022-11-27,7.731163207007466
2022-12-02,7.633733958325861
2022-12-07,7.669204629901791
2022-12-17,7.689674982121082
2022-12-22,7.62913189383996
2022-12-27,7.616022778556732
